k02means,k03means,k04means,k05means,k06means,k07means,k08means,k09means,k10means
0.058501392,0.171484247,0.300784635,0.392118685,0.417184082,0.385625256,0.720130554,0.613529923,0.62469506
0.057450875,0.181664296,0.381234581,0.228384071,0.52033812,0.564647397,0.46142778,0.566473782,0.791890126
0.093100261,0.109403747,0.310705524,0.440632105,0.499996026,0.732217789,0.49162603,0.625516075,0.636653158
0.067224984,0.184381823,0.223137495,0.403217692,0.411585693,0.337292617,0.752957752,0.58851634,0.590723507
0.043483921,0.195807735,0.157478366,0.279504296,0.30654105,0.46230299,0.579392332,0.588006479,0.539733828
0.00664515,0.099522681,0.294139911,0.390644393,0.52497379,0.329306795,0.553499058,0.528499226,0.599153275
0.013105442,0.103901564,0.191806424,0.35794567,0.445808466,0.48039119,0.514271641,0.726495276,0.62837063
0.0123673,0.184107973,0.184642754,0.338017486,0.393683146,0.547447149,0.734250215,0.559388235,0.654841426
0.124614453,0.111212939,0.29578397,0.377950641,0.42448802,0.470492329,0.496252251,0.589030675,0.525994965
0.008440741,0.096200705,0.237744156,0.364902947,0.483247669,0.433163383,0.542011812,0.520918882,0.63468597
0.059559358,0.01801098,0.317081604,0.302303424,0.524426893,0.523812733,0.398889812,0.834279087,0.622033754
0.05289961,0.174644109,0.266632634,0.245928707,0.454862501,0.553558873,0.505395433,0.551108314,0.710410015
0.00463335,0.102023864,0.279801638,0.415910173,0.359733535,0.322319874,0.565700905,0.731413959,0.871133814
0.004419134,0.187065162,0.17620682,0.449312736,0.474854523,0.451391536,0.531790265,0.444024629,0.581473243
0.071975051,0.104701888,0.249423638,0.250994152,0.408342311,0.549885596,0.528464559,0.558659276,0.673773962
0.136871921,0.021980235,0.279981338,0.37163541,0.395066445,0.49820357,0.543427245,0.567389777,0.563731043
