"lon"	"lat"	"rname"
"6213"	-117.90006	33.916681	"6213"
"6247"	-77.3418	38.96146	"6247"
"6318"	-118.272947	33.920055	"6318"
"6336"	-71.188149	42.353696	"6336"
"6420"	-77.487162	38.744685	"6420"
"6433"	-77.487162	38.744685	"6433"
"6468"	-117.894732	33.774478	"6468"
"6495"	-71.011637	42.544644	"6495"
"6510"	-71.22633	42.348912	"6510"
"6515"	-77.036366	38.895112	"6515"
"6605"	-117.24821	32.759852	"6605"
"6631"	-77.46701	38.84479	"6631"
"6639"	-121.878604	37.306889	"6639"
"6663"	-71.088745	42.308198	"6663"
"6705"	-82.582035	27.996097	"6705"
"6739"	-72.16899	44.32895	"6739"
"6788"	-77.3418	38.96146	"6788"
"6789"	-71.026964	42.370567	"6789"
"6900"	-93.475342	44.705881	"6900"
"6907"	-93.234949	45.160799	"6907"
"6926"	-71.49978	41.75038	"6926"
"6956"	-71.27875	42.300596	"6956"
"6979"	-77.645224	39.085309	"6979"
"6991"	-71.64393	41.375317	"6991"
"7013"	-71.27875	42.300596	"7013"
"7043"	-71.026964	42.370567	"7043"
"7063"	-119.75126	37.25022	"7063"
"7076"	-87.658544	41.902042	"7076"
"7102"	-116.055617	33.752886	"7102"
"7138"	-71.088745	42.308198	"7138"
"7192"	-97.258997	37.651974	"7192"
"7214"	-71.088745	42.308198	"7214"
"7311"	-77.3418	38.96146	"7311"
"7351"	-84.0208	33.8505	"7351"
"7372"	-82.800103	27.965853	"7372"
"7404"	-71.167083	42.417695	"7404"
"7513"	-77.44566	38.88668	"7513"
"7568"	-76.197701	43.02143	"7568"
"7609"	-71.167083	42.417695	"7609"
"7619"	-77.4637	34.664	"7619"
"7697"	-118.0441	34.004311	"7697"
"7699"	-79.376228	36.603501	"7699"
"7787"	-117.753346	33.876584	"7787"
"7804"	-117.753346	33.876584	"7804"
"7834"	-84.47405	33.844371	"7834"
"7852"	-84.69805	33.862837	"7852"
"7895"	-83.849622	33.529341	"7895"
"7901"	-71.026964	42.370567	"7901"
"7932"	-71.167083	42.417695	"7932"
"7957"	-76.483999	42.402794	"7957"
"8031"	-81.65565	30.33218	"8031"
"8047"	-121.921498	37.680181	"8047"
"8057"	-119.75126	37.25022	"8057"
"8058"	-82.800103	27.965853	"8058"
"8086"	-98.462344	29.271089	"8086"
"8117"	-71.459405	42.446396	"8117"
"8153"	-121.878604	37.306889	"8153"
"8185"	-71.026964	42.370567	"8185"
"8267"	-71.026964	42.370567	"8267"
"8306"	-71.188149	42.353696	"8306"
"8427"	-71.203666	42.350097	"8427"
"8436"	-71.088745	42.308198	"8436"
"8472"	-117.753346	33.876584	"8472"
"8479"	-81.65565	30.33218	"8479"
"8639"	-121.878604	37.306889	"8639"
"8655"	-82.324515	29.648993	"8655"
"8659"	-5	32	"8659"
"8715"	-117.925338	33.870292	"8715"
"8733"	-71.08923	42.180048	"8733"
"8827"	-117.925338	33.870292	"8827"
"8833"	-117.925338	33.870292	"8833"
"8856"	-117.750414	33.757245	"8856"
"8930"	-77.487162	38.744685	"8930"
"8963"	-71.22633	42.348912	"8963"
"9059"	-77.487162	38.744685	"9059"
"9064"	-117.750414	33.757245	"9064"
"9195"	-71.188149	42.353696	"9195"
"9276"	-119.31373	36.62439	"9276"
"9395"	-71.167083	42.417695	"9395"
"9401"	-71.2398	42.388938	"9401"
"9758"	-76.13604	43.73285	"9758"
"9889"	-77.733937	38.998822	"9889"
"10064"	-74.010241	40.702898	"10064"
"10138"	-70.068046	44.032476	"10138"
"10229"	-77.171752	38.884177	"10229"
"10243"	-117.826166	33.745851	"10243"
"10268"	-71.088745	42.308198	"10268"
"10269"	-71.088745	42.308198	"10269"
"10402"	-73.130503	41.207146	"10402"
"10436"	-77.645224	39.085309	"10436"
"10502"	-71.026964	42.370567	"10502"
"10508"	-117.753346	33.876584	"10508"
"10619"	-71.27875	42.300596	"10619"
"10642"	-71.459405	42.446396	"10642"
"10643"	-77.638287	38.636964	"10643"
"10734"	-77.487162	38.744685	"10734"
"10789"	-71.026964	42.370567	"10789"
"10835"	-82.3539	29.6813	"10835"
"10837"	-97.474982	35.415538	"10837"
"10909"	-71.459405	42.446396	"10909"
"10920"	-71.2398	42.388938	"10920"
"11032"	-77.367457	38.983887	"11032"
"11048"	-77.684264	43.286024	"11048"
"11058"	-77.367457	38.983887	"11058"
"11090"	-117.24821	32.759852	"11090"
"11094"	-117.925338	33.870292	"11094"
"11107"	-117.925338	33.870292	"11107"
"11308"	-97.730956	28.488192	"11308"
"11344"	-84.69805	33.862837	"11344"
"11348"	-80.270379	25.753332	"11348"
"11356"	-122.444291	47.252877	"11356"
"11366"	-71.459405	42.446396	"11366"
"11435"	-117.870336	33.872237	"11435"
"11505"	-117.853112	33.787795	"11505"
"11525"	-74.693953	40.343625	"11525"
"11579"	-71.27875	42.300596	"11579"
"11622"	-81.65565	30.33218	"11622"
"11630"	-75.4999	43.00035	"11630"
"11686"	-122.47011	37.730308	"11686"
"11761"	-82.5001	28.75054	"11761"
"11823"	-71.27875	42.300596	"11823"
"11848"	-76.483999	42.402794	"11848"
"12043"	-77.605404	39.041987	"12043"
"12089"	-117.925338	33.870292	"12089"
"12137"	-71.011637	42.544644	"12137"
"12204"	-73.209998	44.476622	"12204"
"12218"	-84.103226	33.929464	"12218"
"12234"	-122.47011	37.730308	"12234"
"12244"	-84.47405	33.844371	"12244"
"12255"	-117.853112	33.787795	"12255"
"12260"	-77.487162	38.744685	"12260"
"12282"	-84.022911	33.817803	"12282"
"12346"	-71.459405	42.446396	"12346"
"12351"	-96.629203	45.171617	"12351"
"12366"	-118.272947	33.920055	"12366"
"12377"	-118.272947	33.920055	"12377"
"12414"	-77.448	38.8406	"12414"
"12416"	-81.373291	28.545179	"12416"
"12690"	-81.79481	26.142036	"12690"
"12698"	-84.097649	30.56683	"12698"
"12719"	-82.324515	29.648993	"12719"
"12740"	-82.087425	29.198907	"12740"
"12827"	-84.092267	33.962979	"12827"
"12866"	-118.272947	33.920055	"12866"
"12889"	-81.047652	29.194	"12889"
"12938"	-122.47011	37.730308	"12938"
"12975"	-77.46701	38.84479	"12975"
"13029"	-71.2398	42.388938	"13029"
"13052"	-87.658544	41.902042	"13052"
"13082"	-87.79367	41.85059	"13082"
"13116"	-94.801272	47.571964	"13116"
"13171"	-117.925338	33.870292	"13171"
"13259"	-155.90152	19.53119	"13259"
"13293"	-75.11787	40.001811	"13293"
"13331"	-90.068131	30.006819	"13331"
"13362"	-121.29078	37.9577	"13362"
"13403"	-121.840083	39.746159	"13403"
"13425"	-78.382559	33.974101	"13425"
"13436"	-94.596351	39.081976	"13436"
"13483"	-122.223779	37.786027	"13483"
"13518"	-87.658544	41.902042	"13518"
"13520"	-117.750414	33.757245	"13520"
"13524"	-155.820986	19.42818	"13524"
"13640"	-87.20102	30.838213	"13640"
"13654"	-84.092267	33.962979	"13654"
"13878"	-86.77762	37.552013	"13878"
"13891"	-71.188149	42.353696	"13891"
"13944"	-122.713413	38.373615	"13944"
"13959"	-78.903445	38.065794	"13959"
"13975"	-111.773164	40.459133	"13975"
"14052"	-118.272947	33.920055	"14052"
"14125"	-94.03769	33.44179	"14125"
"14180"	-95.735375	43.645207	"14180"
"14187"	-117.925338	33.870292	"14187"
"14243"	-71.088745	42.308198	"14243"
"14348"	-71.2245	42.44732	"14348"
"14411"	-117.894732	33.774478	"14411"
"14512"	-87.658544	41.902042	"14512"
"14548"	-117.396156	33.953349	"14548"
"14619"	-117.90006	33.916681	"14619"
"14694"	-71.2245	42.44732	"14694"
"14714"	-71.2245	42.44732	"14714"
"14742"	-74.010241	40.702898	"14742"
"14935"	-93.558405	41.596747	"14935"
"14936"	-122.47011	37.730308	"14936"
"15030"	-117.750414	33.757245	"15030"
"15037"	-99.57645	30.67685	"15037"
"15082"	-96.834703	46.927094	"15082"
"15086"	-73.989319	40.694481	"15086"
"15178"	-84.022911	33.817803	"15178"
"15295"	-77.46701	38.84479	"15295"
"15341"	-73.130503	41.207146	"15341"
"15368"	-87.658544	41.902042	"15368"
"15389"	-76.109544	43.32576	"15389"
"15562"	-71.459405	42.446396	"15562"
"15572"	-77.394855	37.563911	"15572"
"15609"	-95.309789	29.813142	"15609"
"15623"	-81.899669	28.035908	"15623"
"15639"	-82.800103	27.965853	"15639"
"15891"	-71.026964	42.370567	"15891"
"15928"	-73.130503	41.207146	"15928"
"15948"	-118.272947	33.920055	"15948"
"15950"	-91.833409	42.943828	"15950"
"15957"	-122.142521	37.42373	"15957"
"16034"	-98.462344	29.271089	"16034"
"16111"	-84.634378	33.812606	"16111"
"16115"	-99.10096	38.194644	"16115"
"16634"	-82.087425	29.198907	"16634"
"16643"	-71.167083	42.417695	"16643"
"16653"	-71.188149	42.353696	"16653"
"16713"	-92.46389	46.72417	"16713"
"16724"	-77.46701	38.84479	"16724"
"16735"	-122.223779	37.786027	"16735"
"16847"	-97.1382	31.552011	"16847"
"16856"	-71.177998	42.372596	"16856"
"16863"	-84.87762	38.20042	"16863"
"16884"	-117.750414	33.757245	"16884"
"16890"	-71.088745	42.308198	"16890"
"16988"	-87.658544	41.902042	"16988"
"16991"	30	16	"16991"
"16994"	-118.202054	33.871964	"16994"
"17134"	-77.37637	41.19479	"17134"
"17201"	-101.73385	34.169757	"17201"
"17232"	-119.75126	37.25022	"17232"
"17258"	-93.606807	33.673559	"17258"
"17290"	-97.222828	32.730044	"17290"
"17506"	-96.325984	30.609093	"17506"
"17588"	-77.3418	38.96146	"17588"
"17621"	-83.569359	41.720684	"17621"
"17626"	-83.569359	41.720684	"17626"
"17696"	-77.37637	41.19479	"17696"
"17737"	-81.667486	41.489381	"17737"
"17823"	-96.325984	30.609093	"17823"
"17930"	-117.750414	33.757245	"17930"
"17993"	-117.750414	33.757245	"17993"
"18177"	-77.645224	39.085309	"18177"
"18356"	-77.367457	38.983887	"18356"
"18400"	-89.029553	42.420017	"18400"
"18402"	-87.658544	41.902042	"18402"
"18504"	-89.988768	40.719685	"18504"
"18568"	-77.036366	38.895112	"18568"
"18571"	-117.870336	33.872237	"18571"
"18741"	-71.08923	42.180048	"18741"
"18819"	-77.487162	38.744685	"18819"
"18834"	-77.487162	38.744685	"18834"
"19093"	-87.658544	41.902042	"19093"
"19145"	-87.658544	41.902042	"19145"
"19393"	-73.130503	41.207146	"19393"
"19518"	-122.47011	37.730308	"19518"
"19753"	-97.393787	30.581504	"19753"
"19967"	-5	32	"19967"
"20121"	-93.314839	45.160411	"20121"
"20140"	-117.271301	34.06366	"20140"
"20175"	-87.753945	41.845588	"20175"
"20298"	-77.605404	39.041987	"20298"
"20346"	-77.171752	38.884177	"20346"
"20351"	-80.265122	25.908575	"20351"
"20523"	-94.596351	39.081976	"20523"
"20531"	-77.036366	38.895112	"20531"
"20544"	-87.658544	41.902042	"20544"
"20564"	-116.055617	33.752886	"20564"
"20569"	-77.487162	38.744685	"20569"
"20579"	-96.362454	30.639285	"20579"
"20586"	-71.188149	42.353696	"20586"
"20651"	-78.043086	38.948126	"20651"
"20723"	-90.491168	30.651594	"20723"
"20762"	-73.130503	41.207146	"20762"
"20793"	-81.79481	26.142036	"20793"
"20862"	-82.5001	28.75054	"20862"
"20908"	-71.22633	42.348912	"20908"
"20974"	-122.47011	37.730308	"20974"
"21027"	-71.026964	42.370567	"21027"
"21076"	-71.188149	42.353696	"21076"
"21175"	-87.658544	41.902042	"21175"
"21195"	-71.026964	42.370567	"21195"
"21218"	-73.13834	40.90726	"21218"
"21258"	-81.667486	41.489381	"21258"
"21270"	-82.5001	28.75054	"21270"
"21275"	-76.281	37.3267	"21275"
"21292"	-71.188149	42.353696	"21292"
"21347"	-71.026964	42.370567	"21347"
"21369"	-82.5001	28.75054	"21369"
"21401"	-71.167083	42.417695	"21401"
"21410"	-106.651137	35.084491	"21410"
"21416"	-71.52178	41.67964	"21416"
"21686"	-71.167083	42.417695	"21686"
"21692"	-78.028054	38.283465	"21692"
"21697"	-81.79481	26.142036	"21697"
"21698"	-71.27875	42.300596	"21698"
"21802"	-117.750414	33.757245	"21802"
"21803"	30	16	"21803"
"21813"	-93.314839	45.160411	"21813"
"21842"	-84.47405	33.844371	"21842"
"21893"	-71.27875	42.300596	"21893"
"21932"	-71.188149	42.353696	"21932"
"21937"	-71.2245	42.44732	"21937"
"21963"	-87.658544	41.902042	"21963"
"21998"	-119.75126	37.25022	"21998"
"22142"	-121.26736	38.689802	"22142"
"22306"	-84.47405	33.844371	"22306"
"22362"	-80.254768	27.189748	"22362"
"22412"	-95.302223	32.321937	"22412"
"22423"	-71.274652	42.310597	"22423"
"22500"	-71.188149	42.353696	"22500"
"22533"	-117.925338	33.870292	"22533"
"22534"	-76.281	37.3267	"22534"
"22541"	-75.180411	43.227035	"22541"
"22576"	-75.11787	40.001811	"22576"
"22609"	-77.100256	38.980666	"22609"
"22614"	-102.354346	31.765163	"22614"
"22636"	-77.3418	38.96146	"22636"
"22659"	-77.46701	38.84479	"22659"
"22689"	-80.807554	28.612219	"22689"
"22691"	-99.25061	31.25044	"22691"
"22698"	-121.840727	36.57485	"22698"
"22716"	-117.894732	33.774478	"22716"
"22730"	-84.87762	38.20042	"22730"
"22776"	-77.271644	38.625541	"22776"
"22790"	-71.188149	42.353696	"22790"
"22793"	-71.188149	42.353696	"22793"
"22811"	-71.167083	42.417695	"22811"
"22818"	-71.459405	42.446396	"22818"
"22823"	-75.4999	43.00035	"22823"
"22840"	-71.026964	42.370567	"22840"
"22863"	-80.058857	26.574312	"22863"
"22868"	-77.3418	38.96146	"22868"
"22890"	-119.75126	37.25022	"22890"
"22926"	-92.50046	38.25031	"22926"
"22979"	-118.292773	34.200993	"22979"
"23033"	-84.47405	33.844371	"23033"
"23074"	-81.79481	26.142036	"23074"
"23088"	-87.257303	37.751818	"23088"
"23161"	-93.997666	30.867257	"23161"
"23180"	-73.75188	40.770841	"23180"
"23207"	-119.75126	37.25022	"23207"
"23276"	30	16	"23276"
"23280"	-117.753346	33.876584	"23280"
"23311"	-122.47011	37.730308	"23311"
"23328"	-117.999153	33.88811	"23328"
"23396"	-71.2245	42.44732	"23396"
"23402"	-84.47772	37.98869	"23402"
"23414"	-86.928132	40.467303	"23414"
"23445"	-117.925338	33.870292	"23445"
"23487"	-77.645224	39.085309	"23487"
"23534"	-71.026964	42.370567	"23534"
"23649"	-97.597055	30.442737	"23649"
"23703"	-89.25037	40.00032	"23703"
"23723"	-87.71456	42.088428	"23723"
"23764"	-117.925338	33.870292	"23764"
"23832"	-71.459405	42.446396	"23832"
"23934"	-116.055617	33.752886	"23934"
"23948"	-81.373291	28.545179	"23948"
"23974"	-117.24821	32.759852	"23974"
"23992"	-76.208521	36.895911	"23992"
"24000"	-71.188149	42.353696	"24000"
"24059"	-98.775074	38.393567	"24059"
"24114"	-74.546651	40.917598	"24114"
"24129"	-71.2398	42.388938	"24129"
"24168"	-114.014338	46.856398	"24168"
"24175"	-78.886424	42.89606	"24175"
"24218"	-117.750414	33.757245	"24218"
"24230"	-73.805245	40.926826	"24230"
"24258"	-76.483999	42.402794	"24258"
"24300"	-76.4837	42.4474	"24300"
"24432"	-76.040922	43.042947	"24432"
"24444"	-77.430123	39.045384	"24444"
"24448"	-77.3418	38.96146	"24448"
"24551"	-117.826166	33.745851	"24551"
"24593"	-84.103226	33.929464	"24593"
"24631"	-78.886424	42.89606	"24631"
"24651"	-94.596351	39.081976	"24651"
"24683"	-71.011637	42.544644	"24683"
"24767"	-87.658544	41.902042	"24767"
"24870"	-84.47405	33.844371	"24870"
"24907"	-77.734232	39.143614	"24907"
"24930"	-84.026171	34.042479	"24930"
"24938"	-87.658544	41.902042	"24938"
"25005"	-77.46701	38.84479	"25005"
"25040"	-71.026964	42.370567	"25040"
"25042"	-122.47011	37.730308	"25042"
"25106"	-89.648801	39.800698	"25106"
"25130"	-118.202054	33.871964	"25130"
"25186"	-117.396156	33.953349	"25186"
"25229"	-71.026964	42.370567	"25229"
"25315"	-82.582035	27.996097	"25315"
"25328"	-93.277176	44.835969	"25328"
"25334"	-71.459405	42.446396	"25334"
"25337"	-93.253363	42.43026	"25337"
"25361"	-71.459405	42.446396	"25361"
"25386"	-100.92932	48.05612	"25386"
"25447"	-84.47405	33.844371	"25447"
"25461"	-71.167083	42.417695	"25461"
"25465"	-117.925338	33.870292	"25465"
"25512"	-71.08923	42.180048	"25512"
"25546"	-117.750414	33.757245	"25546"
"25571"	-117.9127	33.9017	"25571"
"25573"	-71.188149	42.353696	"25573"
"25582"	-117.925338	33.870292	"25582"
"25601"	-71.188149	42.353696	"25601"
"25603"	-117.925338	33.870292	"25603"
"25625"	-87.658544	41.902042	"25625"
"25655"	-71.026964	42.370567	"25655"
"25677"	-5	32	"25677"
"25709"	-71.2245	42.44732	"25709"
